Site,Age,d13C
U1403,NA,1.91
U1404,NA,1.49
U1405,NA,1.91
U1406,NA,2.10
U1407,NA,2.07
U1408,NA,2.10
U1409,NA,2.10
U1410,NA,2.14
U1411,NA,2.22
U1412,NA,2.09
U1413,NA,2.15
U1414,NA,1.95
U1415,NA,2.06
U1416,NA,1.90
U1417,NA,1.81
U1418,NA,1.86
U1419,NA,1.91
U1420,NA,2.00
U1421,NA,1.74
U1422,NA,2.04
U1423,NA,1.79
U1424,NA,2.17
U1425,NA,2.22
U1426,NA,2.17
U1427,NA,1.94
U1428,NA,1.99
U1429,NA,1.77
U1430,NA,1.96
U1431,NA,2.07
U1432,NA,1.91
U1433,NA,2.01
U1434,NA,1.77
U1435,NA,1.94
U1436,NA,1.86
U1437,63.131,1.80
U1438,63.173,1.82
U1439,63.216,1.96
U1440,63.259,1.83
U1441,63.291,1.62
U1442,63.334,1.96
U1443,63.376,1.61
U1444,63.419,1.76
U1445,63.462,1.71
U1446,63.505,1.69
U1447,63.543,1.42
U1448,63.572,1.76
U1449,63.591,1.80
U1450,63.623,1.34
U1451,63.655,1.70
U1452,63.688,1.83
U1453,63.720,1.65
U1454,63.821,1.84
U1455,63.841,1.79
U1456,63.875,1.83
U1457,63.910,1.81
U1458,63.945,1.73
U1459,63.980,1.72
U1460,64.015,1.82
U1461,64.049,2.08
U1462,64.082,1.96
U1463,64.101,2.00
U1464,64.136,1.82
U1465,64.190,2.04
U1466,64.246,2.11
U1467,64.356,2.13
U1468,64.411,2.16
U1469,64.464,1.82
U1470,64.494,1.76
U1471,64.548,1.89
U1472,64.589,1.81
U1473,64.617,1.84
U1474,64.650,2.00
U1475,64.690,2.08
U1476,64.763,2.16
U1477,64.763,1.82
U1478,64.763,2.12
U1479,64.763,2.02
U1480,64.784,1.90
U1481,64.794,1.90
U1482,64.824,2.09
U1483,64.844,2.07
U1484,64.844,2.00
U1485,64.865,2.16
U1486,64.865,1.90
U1487,64.885,2.20
U1488,64.895,2.00
U1489,64.905,2.00
U1490,64.926,2.39
U1491,64.926,2.30
U1492,64.955,2.00
U1493,64.963,1.90
U1494,64.979,2.18
U1495,64.979,2.16
U1496,64.979,2.10
U1497,64.986,2.10
U1498,64.994,2.29
U1499,64.994,1.90
U1500,64.994,1.89
U1501,65.002,1.90
U1502,65.010,2.00
U1503,65.010,1.90
U1504,65.018,2.00
U1505,65.018,2.00
U1506,65.018,2.00
U1507,65.026,2.00
U1508,65.026,2.08
U1509,65.026,1.90
U1510,65.034,2.00
U1511,65.042,2.00
U1512,65.050,1.89
U1513,65.050,1.90
U1514,65.058,1.80
U1515,65.058,1.86
U1516,65.058,1.86
U1517,65.066,2.00
U1518,65.074,1.91
U1519,65.082,1.79
U1520,65.082,1.90
U1521,65.090,1.80
U1522,65.097,1.70
U1523,65.107,1.64
U1524,65.113,1.76
U1525,65.113,1.70
U1526,65.121,1.65
U1527,65.129,1.70
U1528,65.137,1.75
U1529,65.145,1.80
U1530,65.145,1.70
U1531,65.153,1.84
U1532,65.161,1.80
U1533,65.169,1.78
U1534,65.177,1.81
U1535,65.177,1.90
U1536,65.185,1.94
U1537,65.193,1.68
U1538,65.201,1.67
U1539,65.201,1.69
U1540,65.201,1.68
U1541,65.209,1.75
U1542,65.209,1.80
U1543,65.216,1.68
U1544,65.224,1.73
U1545,65.232,1.74
U1546,65.240,1.56
U1547,65.240,1.60
U1548,65.248,1.60
U1549,65.248,1.60
U1550,65.248,1.64
U1551,65.256,1.56
U1552,65.264,1.64
U1553,65.272,1.40
U1554,65.272,1.40
U1555,65.280,1.38
U1556,65.288,1.60
U1557,65.296,1.61
U1558,65.296,1.60
U1559,65.296,1.61
U1560,65.304,1.55
U1561,65.312,1.55
U1562,65.320,1.56
U1563,65.320,1.60
U1564,65.327,1.50
U1565,65.327,1.50
U1566,65.327,1.50
U1567,65.335,1.51
U1568,65.343,1.58
U1569,65.351,1.60
U1570,65.351,1.60
U1571,65.359,1.52
U1572,65.367,1.35
U1573,65.374,1.22
U1574,65.382,1.20
U1575,65.382,1.30
U1576,65.390,1.32
U1577,65.397,1.34
U1578,65.405,1.13
U1579,65.408,1.30
U1580,65.408,1.40
U1581,65.411,1.38
U1582,65.414,1.34
U1583,65.417,1.38
U1584,65.420,1.33
U1585,65.420,1.40
U1586,65.423,1.44
U1587,65.426,1.33
U1588,65.429,1.21
U1589,65.429,1.29
U1590,65.429,1.40
U1591,65.432,1.23
U1592,65.432,1.30
U1593,65.435,1.31
U1594,65.435,1.20
U1595,65.435,1.30
U1596,65.438,1.24
U1597,65.438,1.21
U1598,65.438,1.30
U1599,65.441,1.32
U1600,65.441,1.28
U1601,65.441,1.30
U1602,65.445,1.40
U1603,65.448,1.32
U1604,65.448,1.40
U1605,65.451,1.37
U1606,65.451,1.36
U1607,65.451,1.30
U1608,65.454,1.27
U1609,65.454,1.34
U1610,65.454,1.30
U1611,65.457,1.27
U1612,65.457,1.40
U1613,65.460,1.41
U1614,65.460,1.30
U1615,65.463,1.42
U1616,65.463,1.43
U1617,65.463,1.28
U1618,65.463,1.38
U1619,65.463,1.40
U1620,65.466,1.30
U1621,65.466,1.21
U1622,65.466,1.32
U1623,65.469,1.40
U1624,65.469,1.26
U1625,65.472,1.39
U1626,65.472,1.30
U1627,65.472,1.26
U1628,65.475,1.40
U1629,65.475,1.35
U1630,65.478,1.09
U1631,65.478,1.40
U1632,65.481,1.50
U1633,65.484,1.40
U1634,65.484,1.45
U1635,65.487,1.40
U1636,65.487,1.43
U1637,65.490,1.50
U1638,65.490,1.26
U1639,65.493,1.40
U1640,65.496,1.40
U1641,65.496,1.46
U1642,65.499,1.40
U1643,65.499,1.45
U1644,65.503,1.08
U1645,65.503,1.40
U1646,65.506,1.40
U1647,65.509,1.40
U1648,65.509,1.38
U1649,65.512,1.40
U1650,65.515,1.22
U1651,65.521,1.25
U1652,65.524,1.24
U1653,65.527,1.13
U1654,65.527,0.82
U1655,65.527,1.13
U1656,65.533,1.14
U1657,65.533,1.12
U1658,65.533,1.12
U1659,65.536,1.09
U1660,65.539,1.11
U1661,65.545,1.33
U1662,65.548,1.29
U1663,65.551,1.18
U1664,65.557,1.30
U1665,65.563,1.39
U1666,65.570,1.14
U1667,65.585,1.37
U1668,65.592,1.35
U1669,65.592,1.33
U1670,65.607,1.24
U1671,65.614,1.30
U1672,65.622,1.28
U1673,65.629,1.37
U1674,65.637,1.18
U1675,65.644,1.28
U1676,65.651,1.09
U1677,65.659,1.09
U1678,65.666,0.97
U1679,65.673,1.26
U1680,65.681,1.10
U1681,65.688,1.07
U1682,65.696,0.93
U1683,65.703,1.10
U1684,65.710,1.14
U1685,65.718,1.13
U1686,65.725,1.01
U1687,65.732,1.03
U1688,65.740,1.29
U1689,65.747,1.21
U1690,65.755,1.27
U1691,65.762,1.34
U1692,65.770,1.24
U1693,65.777,1.38
U1694,65.785,1.26
U1695,65.792,1.32
U1696,65.800,1.30
U1697,65.807,1.35
U1698,65.815,1.29
U1699,65.815,1.26
U1700,65.822,1.40
U1701,65.830,1.27
U1702,65.837,1.47
U1703,65.845,1.28
U1704,65.852,1.50
U1705,65.860,1.37
U1706,65.867,1.53
U1707,65.875,1.41
U1708,65.882,1.53
U1709,65.890,1.66
U1710,65.897,1.70
U1711,65.905,1.59
U1712,65.912,1.78
U1713,65.920,1.74
U1714,65.927,2.01
U1715,65.927,1.83
U1716,65.927,1.81
U1717,65.935,1.86
U1718,65.942,1.83
U1719,65.950,1.88
U1720,65.957,1.82
U1721,65.965,1.91
U1722,65.970,1.94
U1723,65.975,2.01
U1724,65.981,1.80
U1725,65.986,2.17
U1726,65.988,1.75
U1727,65.996,1.59
U1728,65.996,1.54
U1729,66.001,1.89
U1730,66.006,1.13
U1731,66.012,1.16
U1732,66.017,2.70
U1733,66.017,1.92
U1734,66.022,2.79
U1735,66.024,2.89
U1736,66.027,2.78
U1737,66.029,2.83
U1738,66.032,2.94
U1739,66.032,2.80
U1740,66.037,2.93
U1741,66.039,2.88
U1742,66.042,2.92
U1743,66.044,2.86
U1744,66.044,2.84
U1745,66.046,2.90
U1746,66.049,2.82
U1747,66.051,2.77
U1748,66.054,2.81
U1749,66.056,2.78
U1750,66.056,2.77
U1751,66.059,2.78
U1752,66.068,2.75
U1753,66.068,2.80
U1754,66.081,2.69
U1755,66.093,2.80
U1756,66.105,2.69
U1757,66.117,2.51
U1758,66.129,2.57
U1759,66.132,2.46
U1760,66.142,2.39
U1761,66.144,2.45
U1762,66.154,2.59
U1763,66.166,2.54
U1764,66.169,2.46
U1765,66.177,2.48
U1766,66.179,2.33
U1767,66.185,2.59
U1768,66.188,2.50
U1769,66.207,2.61
U1770,66.217,2.66
U1771,66.227,2.79
U1772,66.246,2.80
U1773,66.253,2.72
U1774,66.255,2.76
U1775,66.265,2.79
U1776,66.273,2.71
U1777,66.284,2.77
U1778,66.292,2.75
U1779,66.294,2.71
U1780,66.303,2.75
U1781,66.322,2.74
U1782,66.332,2.74
U1783,66.341,2.79
U1784,66.361,2.72
U1785,66.370,2.73
U1786,66.380,2.72
U1787,66.401,2.67
U1788,66.411,2.59
U1789,66.421,2.63
U1790,66.443,2.66
U1791,66.453,2.56
U1792,66.464,2.58
U1793,66.484,2.62
U1794,66.495,2.58
U1795,66.499,2.57
U1796,66.505,2.67
U1797,66.509,2.76
U1798,66.520,2.71
U1799,66.526,2.63
U1800,66.530,2.73
U1801,66.536,2.61
U1802,66.541,2.71
U1803,66.547,2.63
U1804,66.551,2.72
U1805,66.561,2.70
U1806,66.568,2.68
U1807,66.572,2.75
U1808,66.577,2.55
U1809,66.582,2.70
U1810,66.593,2.83
U1811,66.599,2.71
U1812,66.603,2.82
U1813,66.609,2.72
U1814,66.613,2.88
U1815,66.620,2.69
U1816,66.624,2.86
U1817,66.634,2.84
U1818,66.640,2.88
U1819,66.644,2.85
U1820,66.651,2.77
U1821,66.655,2.83
U1822,66.661,2.90
U1823,66.665,2.79
U1824,66.676,2.86
U1825,66.682,2.85
U1826,66.686,2.87
U1827,66.694,2.81
U1828,66.697,2.84
U1829,66.704,2.93
U1830,66.707,2.84
U1831,66.717,2.86
U1832,66.725,2.95
U1833,66.728,2.80
U1834,66.735,2.82
U1835,66.738,2.88
U1836,66.746,2.96
U1837,66.749,2.75
U1838,66.759,2.74
U1839,66.770,2.77
U1840,66.780,2.77
U1841,66.790,2.84
U1842,66.798,2.78
U1843,66.809,2.83
U1844,66.819,2.83
U1845,66.838,2.81
U1846,66.848,2.81
U1847,66.857,2.86
U1848,66.877,2.82
U1849,66.886,2.81
U1850,66.896,2.81
U1851,66.915,2.87
U1852,66.925,2.81
U1853,66.935,2.85
U1854,66.954,2.71
U1855,66.964,2.76
U1856,66.973,2.88
U1857,66.983,2.77
U1858,67.002,2.83
U1859,67.012,2.88
U1860,67.022,2.82
U1861,67.041,2.85
U1862,67.051,2.86
U1863,67.060,2.87
U1864,67.079,2.88
U1865,67.088,2.90
U1866,67.099,2.91
U1867,67.118,2.89
U1868,67.128,2.90
U1869,67.137,2.85
U1870,67.157,2.82
U1871,67.166,2.84
U1872,67.176,2.89
U1873,67.179,2.94
U1874,67.189,2.94
U1875,67.195,2.89
U1876,67.198,2.98
U1877,67.204,2.74
U1878,67.213,2.90
U1879,67.215,2.89
U1880,67.224,2.85
U1881,67.233,2.92
U1882,67.239,2.74
U1883,67.248,2.90
U1884,67.250,2.94
U1885,67.259,2.95
U1886,67.265,2.91
U1887,67.268,2.95
U1888,67.274,2.92
U1889,67.274,2.71
U1890,67.283,2.93
U1891,67.285,3.03
U1892,67.294,2.91
U1893,67.300,3.04
U1894,67.302,3.08
U1895,67.309,2.89
U1896,67.318,2.89
U1897,67.320,3.15
U1898,67.329,3.04
U1899,67.335,3.05
U1900,67.338,3.08
U1901,67.344,2.94
U1902,67.352,2.98
U1903,67.355,3.11
U1904,67.364,3.10
U1905,67.373,3.09
U1906,67.390,3.05
U1907,67.399,3.07
U1908,67.408,3.09
U1909,67.425,3.04
U1910,67.433,3.02
U1911,67.443,3.07
U1912,67.460,3.10
U1913,67.469,2.99
U1914,67.478,2.96
U1915,67.495,2.97
U1916,67.504,2.90
U1917,67.513,3.02
U1918,67.530,3.08
U1919,67.536,2.92
U1920,67.539,2.97
U1921,67.545,3.01
U1922,67.548,3.07
U1923,67.563,3.09
U1924,67.564,3.00
U1925,67.571,3.06
U1926,67.574,2.95
U1927,67.580,3.06
U1928,67.583,3.07
U1929,67.597,2.99
U1930,67.600,2.93
U1931,67.606,3.03
U1932,67.609,2.93
U1933,67.615,3.05
U1934,67.617,3.02
U1935,67.632,2.96
U1936,67.634,3.06
U1937,67.643,2.92
U1938,67.648,3.05
U1939,67.652,2.97
U1940,67.666,3.04
U1941,67.669,2.60
U1942,67.675,3.02
U1943,67.677,2.91
U1944,67.683,2.94
U1945,67.686,2.94
U1946,67.700,2.99
U1947,67.703,3.01
U1948,67.709,2.98
U1949,67.712,2.85
U1950,67.718,2.96
U1951,67.720,2.87
U1952,67.735,2.92
U1953,67.737,2.96
U1954,67.743,2.95
U1955,67.746,2.84
U1956,67.752,2.81
U1957,67.755,2.90
U1958,67.769,2.95
U1959,67.772,2.95
U1960,67.777,2.94
U1961,67.780,2.89
U1962,67.786,2.89
U1963,67.804,2.88
U1964,67.806,2.88
U1965,67.812,2.88
U1966,67.815,2.82
U1967,67.821,2.88
U1968,67.823,2.90
U1969,67.838,2.85
U1970,67.840,2.88
U1971,67.846,2.95
U1972,67.849,2.91
U1973,67.855,2.80
U1974,67.858,2.89
U1975,67.872,2.90
U1976,67.881,2.98
U1977,67.881,2.76
U1978,67.889,2.94
U1979,67.889,2.86
U1980,67.906,2.90
U1981,67.915,2.86
U1982,67.924,2.74
U1983,67.941,2.88
U1984,67.950,2.94
U1985,67.958,2.91
U1986,67.975,2.94
U1987,67.984,2.96
U1988,67.995,2.95
U1989,68.019,2.93
U1990,68.031,2.93
U1991,68.043,2.82
U1992,68.067,2.98
U1993,68.079,3.02
U1994,68.091,3.00
U1995,68.103,2.96
U1996,68.103,2.93
U1997,68.115,2.96
U1998,68.127,2.93
U1999,68.127,3.04
U2000,68.139,3.04
U2001,68.151,2.91
U2002,68.151,2.98
U2003,68.163,2.90
U2004,68.175,2.85
U2005,68.175,2.99
U2006,68.187,3.01
U2007,68.199,2.99
U2008,68.199,2.94
U2009,68.211,3.04
U2010,68.223,3.06
U2011,68.223,3.01
U2012,68.246,3.01
U2013,68.246,3.01
U2014,68.258,3.01
U2015,68.270,2.99
U2016,68.270,2.99
U2017,68.282,3.06
U2018,68.294,3.01
U2019,68.306,3.04
U2020,68.306,3.07
U2021,68.318,3.12
U2022,68.320,3.06
U2023,68.330,3.10
U2024,68.354,3.06
U2025,68.366,2.98
U2026,68.378,3.06
U2027,68.405,3.03
U2028,68.419,2.88
U2029,68.432,2.96
U2030,68.460,3.02
U2031,68.473,2.87
U2032,68.487,2.95
U2033,68.514,2.87
U2034,68.528,2.89
U2035,68.542,2.77
U2036,68.569,2.83
U2037,68.583,2.78
U2038,68.596,2.88
U2039,68.624,2.92
U2040,68.637,2.89
U2041,68.650,2.92
U2042,68.665,2.87
U2043,68.692,2.88
U2044,68.706,2.90
U2045,68.733,2.88
U2046,68.747,2.84
U2047,68.760,2.84
U2048,68.774,2.76